Score,Název,IČO,Město,Kraj,Email,Telefon,Typ,Tier
100,Lékárna Hvězda Petřiny,05646308,Praha,Praha,lekarna@hvezdapetriny.cz,220611472,Lékárna,Tier 1
100,Lékárna Krupská,27136019,Praha,Praha,"lekarnakrupska@seznam.cz, info@lekarnakrupska.cz","739 463 141, 739 463 150",Lékárna,Tier 1
100,Lékárna Magnolia,27790363,Ostrava,Moravskoslezský kraj,magnolia2@outlook.cz,591 134 324,Lékárna,Tier 1
100,Lékárna Mediexpert,03942767,Praha,Praha,"klanovice@mediexpert.cz, lekarna@mediexpert.cz",608 730 873,Lékárna,Tier 1
100,Lékárna NOVA,45478520,Brno,Jihomoravský kraj,lekarna@lekarnanova.cz,"549 216 487, 549 245 817, 737 378 242",Lékárna,Tier 1
100,Lékárna Opletalova,24794155,Praha,Praha,"lekarna-elba@seznam.cz, lekarna.opletalova@seznam.cz","224 220 703, 775 573 835",Lékárna,Tier 1
100,Lékárna Osadní,25979540,Praha,Praha,osadni@ipcnet.cz,607 036 327,Lékárna,Tier 1
100,Lékárna Palladium,26905795,Praha,Praha,palladium@ipcnet.cz,224 829 073,Lékárna,Tier 1
100,Lékárna Poliklinika Bory,49787632,Plzeň,Plzeňský kraj,lekarna@poliklinikabory.cz,377 374 564,Lékárna,Tier 1
100,Lékárna Remus,06346227,Plzeň,Plzeňský kraj,info@lekarnaremus.cz,"377 520 755, 601 159 236",Lékárna,Tier 1
100,Lékárna U Madony,40275981,Ostrava,Moravskoslezský kraj,lekarnaumadony@iol.cz,596 136 542,Lékárna,Tier 1
100,Lékárna U Pošty,24217093,Brno,Jihomoravský kraj,lekarnauposty@vamida.cz,"548 210 591, 601 200 799",Lékárna,Tier 1
100,Lékárna v Bezovce,28034325,Plzeň,Plzeňský kraj,lekbezovka@seznam.cz,377 423 462,Lékárna,Tier 1
100,Pharmacentrum DBK,03661989,Praha,Praha,pharmacentrum.dbk@mediconpharm.cz,227 777 318,Lékárna,Tier 1
95,BENU Lékárna,49621173,Praha,Praha,"praha.pocernice@benu.cz, praha.pocernice@benu.cz","739024608, 739024608",Lékárna,Tier 1
95,BENU Lékárna,49621173,Brno,Jihomoravský kraj,brno.rohlik@benu.cz,734 838 819,Lékárna,Tier 1
95,BENU Lékárna,49621173,Ostrava,Moravskoslezský kraj,ostrava.eshop@benu.cz,737 233 944,Lékárna,Tier 1
95,BENU Lékárna,49621173,Praha,Praha,rohlik@benu.cz,731497277,Lékárna,Tier 1
95,"BENU Lékárna, distribuční sklad PHOENIX LV s.r.o.",49621173,Brno,Jihomoravský kraj,brno.eshop@benu.cz,732691268,Lékárna,Tier 1
95,Brněnská lékárna,21285659,Brno,Jihomoravský kraj,brnenska.lekarna@seznam.cz,601554106,Lékárna,Tier 1
95,CENTRAL APOTHEKE,29077567,Karlovy Vary,Karlovarský kraj,"centralapotheke@email.cz, Karlovyvary1@kuc-kuc.cz, sales@centralapotheke.cz",607 079 649,Lékárna,Tier 2
95,Dr. Max LÉKÁRNA,28511298,Ostrava,Moravskoslezský kraj,LEK750@drmax.cz,225 574 750,Lékárna,Tier 1
95,Dr. Max LÉKÁRNA,28511298,Teplice,Ústecký kraj,teplice.csdobrovolcu@drmax.cz,225574559,Lékárna,Tier 2
95,Dr. Max LÉKÁRNA,28511298,Příbram,Středočeský kraj,pribram.evropska@drmax.cz,225574552,Lékárna,Tier 2
95,Dr. Max LÉKÁRNA,28511298,Tábor,Jihočeský kraj,lek016@drmax.cz,225 574 016,Lékárna,Tier 2
95,Dr. Max LÉKÁRNA,28511298,Chomutov,Ústecký kraj,chomutov2@drmax.cz,225574149,Lékárna,Tier 2
95,Dr. Max LÉKÁRNA,28511298,Most,Ústecký kraj,most@drmax.cz,225574012,Lékárna,Tier 2
95,Dr. Max LÉKÁRNA,28511298,Ostrava,Moravskoslezský kraj,LEK680@drmax.cz,595 782 988,Lékárna,Tier 1
95,Dr. Max LÉKÁRNA,28511298,Havířov,Moravskoslezský kraj,lek005@drmax.cz,225574005,Lékárna,Tier 2
95,Dr. Max LÉKÁRNA,28511298,Frýdek-Místek,Moravskoslezský kraj,frydek2@drmax.cz,"558 635 055, 225 574 067",Lékárna,Tier 2
95,Dr. Max LÉKÁRNA,28511298,Karviná,Moravskoslezský kraj,karvina3@drmax.cz,596321973,Lékárna,Tier 2
95,Dr. Max LÉKÁRNA,28511298,České Budějovice,Jihočeský kraj,lek087@drmax.cz,225 574 087,Lékárna,Tier 2
95,Dr. Max LÉKÁRNA,28511298,Zlín,Olomoucký kraj,zlin2@drmax.cz,225574051,Lékárna,Tier 2
95,Dr.Max LÉKÁRNA,28511298,Kladno,Středočeský kraj,kladno@drmax.cz,225 574 002,Lékárna,Tier 2
95,Dr.Max LÉKÁRNA,28511298,Jihlava,Kraj Vysočina,jihlava@drmax.cz,225574034,Lékárna,Tier 2
95,Dr.Max LÉKÁRNA,28511298,Děčín,Ústecký kraj,decin@drmax.cz,225574055,Lékárna,Tier 2
95,Dr.Max LÉKÁRNA,28511298,Liberec,Liberecký kraj,"liberec2@drmax.cz, lek077@drmax.cz",225 574 077,Lékárna,Tier 2
95,Dr.Max LÉKÁRNA,28511298,Liberec,Liberecký kraj,liberec.sousedska@drmax.cz,225 574 447,Lékárna,Tier 2
95,Dr.Max LÉKÁRNA,28511298,Brno,Jihomoravský kraj,"brno.cimburkova@drmax.cz, lek678@drmax.cz",225574678,Lékárna,Tier 1
95,Dr.Max LÉKÁRNA,28511298,Hradec Králové,Královéhradecký kraj,hradec@drmax.cz,225 574 038,Lékárna,Tier 2
95,Dr.Max LÉKÁRNA,28511298,Brno,Jihomoravský kraj,lek850@drmax.cz,793948871,Lékárna,Tier 1
95,Dr.Max LÉKÁRNA,28511298,Praha,Praha,LEK400@drmax.cz,225 574 400,Lékárna,Tier 1
95,Dr.Max LÉKÁRNA,28511298,Praha,Praha,praha.skandinavska@drmax.cz,225 574 613,Lékárna,Tier 1
95,Dr.Max LÉKÁRNA,28511298,Pardubice,Pardubický kraj,lek653@drmax.cz,225 574 653,Lékárna,Tier 2
95,Dr.Max LÉKÁRNA,28511298,Znojmo,Jihomoravský kraj,znojmo.dobsicka@drmax.cz,225574582,Lékárna,Tier 2
95,EUC Lékárna,01918028,Praha,Praha,lekarna.opatovska.praha@euc.cz,"272 681 337, 606 059 747",Lékárna,Tier 1
95,Lékárna ALFA,25543113,Přerov,Olomoucký kraj,alfa@mens.cz,581 204 419,Lékárna,Tier 2
95,Lékárna AVE,09169733,Praha,Praha,mustek@lekarnaave.cz,601 201 485,Lékárna,Tier 1
95,Lékárna AVE,26863090,Praha,Praha,malesice@lakarnaave.cz,722 951 669,Lékárna,Tier 1
95,Lékárna AVE,26863090,Ostrava,Moravskoslezský kraj,hrabuvka@lekarnaave.cz,607 276 300,Lékárna,Tier 1
95,Lékárna AVE,24821276,Brno,Jihomoravský kraj,komarov@lekarnaave.cz,601201486,Lékárna,Tier 1
95,Lékárna AVE,08858934,Hradec Králové,Královéhradecký kraj,hradec@lekarnaave.cz,601 201 483,Lékárna,Tier 2
95,Lékárna AVE,26863090,Praha,Praha,masarykova@lekarnaave.cz,601 201 489,Lékárna,Tier 1
95,Lékárna AVE s.r.o.,26863090,Olomouc,Olomoucký kraj,olomouc@lekarnaave.cz,"585 220 936, 607 041 960",Lékárna,Tier 2
95,Lékárna Budoucnost,27802116,Ostrava,Moravskoslezský kraj,lekarna.budoucnost@seznam.cz,596 768 226,Lékárna s OOVL,Tier 1
95,Lékárna Erbenova,05566312,Praha,Praha,lekarna.vmt@gmail.com,602585119,Lékárna s odb. prac. (LO),Tier 1
95,Lékárna Holásecká,21370281,Brno,Jihomoravský kraj,lekarnaturany@euphrasia.cz,545 219 468,Lékárna,Tier 1
95,Lékárna ipc Horymírova,25965522,Ostrava,Moravskoslezský kraj,horymirova@ipcnet.cz,604 580 050,Lékárna,Tier 1
95,Lékárna ipc JANSKÉHO,02264251,Praha,Praha,janskeho@ipcnet.cz,606 035 864,Lékárna,Tier 1
95,LÉKÁRNA ipc Poruba,25965522,Ostrava,Moravskoslezský kraj,poruba@ipcnet.cz,606 039 183,Lékárna (L),Tier 1
95,Lékárna Lemon,06084567,Brno,Jihomoravský kraj,brno.obla@lekarnalemon.cz,734 406 743,Lékárna,Tier 1
95,Lékárna Letňany,27376401,Praha,Praha,"letnany@jh-lekarny.cz, eshop@jh-lekarny.cz","283920093, 733182891",Lékárna (L),Tier 1
95,Lékárna Medispot,28233832,Praha,Praha,lekarna@medispot.cz,724930705,Lékárna,Tier 1
95,Lékárna Na Kobližné,46978437,Brno,Jihomoravský kraj,jiri_richter@volny.cz,542 212 110,Lékárna (L),Tier 1
95,Lékárna Royale s.r.o.,24770302,Praha,Praha,royale@volny.cz,"608164817, 286 852 323",Lékárna s OOVL,Tier 1
95,Lékárna Selská,19093781,Brno,Jihomoravský kraj,lekarna@magistrmartin.cz,601 501 750,Lékárna,Tier 1
95,Lékárna SPEA,64086747,Olomouc,Olomoucký kraj,lekarna@spea.cz,585 505 115,Lékárna,Tier 2
95,Lékárna St. MARIA,26365979,Karlovy Vary,Karlovarský kraj,lekarna.st.maria@seznam.cz,"355 335 777, 725 857 777",Lékárna,Tier 2
95,Lékárna U Hvězdy,25478168,Chomutov,Ústecký kraj,lekarnauhvezdy@centrum.cz,474 659 859,Lékárna,Tier 2
95,Lékárna U Lázní,62744771,Teplice,Ústecký kraj,lulazni@tiscali.cz,417 578 400,Lékárna,Tier 2
95,Lékárna U Pöttingea,60800879,Olomouc,Olomoucký kraj,lekarnaupottingea@seznam.cz,585223782,Lékárna,Tier 2
95,Lékárna U Zlatého Slunce,17325072,Praha,Praha,lekarnauzlatehoslunce@seznam.cz,224814568,Lékárna,Tier 1
95,Lékárna Vltavínská,26750457,Třebíč,Jihomoravský kraj,"hoblova@lekarna-vltavinska.cz, sobotkova@lekarna-vltavinska.cz","568 808 125 , 568 840 720",Lékárna,Tier 2
95,Lékárna Volksversand,27605060,Liberec,Liberecký kraj,intex@lekarna-volksversand.cz,482 317 153,Lékárna,Tier 2
95,Lékárna Vršovice,28415698,Praha,Praha,"info@lekarnavrsovice.cz, lekarna@lekarnavrsovice.cz",223 000 896,Lékárna,Tier 1
95,Lékárna 510 Holice,06990142,Olomouc,Olomoucký kraj,lekarna510@volny.cz,585313560,Lékárna,Tier 2
95,Magistra Lékárna Hostivař,24801011,Praha,Praha,"info@magistra.cz, zakaznicky.servis@magistra.cz",774 766 817,Lékárna,Tier 1
95,ONLINELÉKÁRNA.CZ,11636726,Brno,Jihomoravský kraj,"info@onlinelekarna.cz, eshop@onlinelekarna.cz","549 211 188, 733 507 477",Lékárna,Tier 1
95,Pilulka Lékárna,03615278,Praha,Praha,sklad@pilulka.cz,222 703 000,Lékárna,Tier 1
95,Přímětická,47907347,Znojmo,Jihomoravský kraj,"lekarnik@volny.cz, lekarna@kezdravi.cz","515 228 355, 537 021 533",Lékárna,Tier 2
95,Svatojánská lékárna,27460894,Hradec Králové,Královéhradecký kraj,svatojanska@ipcnet.cz,495 264 701,Lékárna,Tier 2
95,U Bílého jednorožce,46633723,Tábor,Jihočeský kraj,"leknovotna@volny.cz, talekarna@email.cz",381 253 681,Lékárna,Tier 2
90,AVENTA,25598791,Brno,Jihomoravský kraj,aventa@volny.cz,542 215 189,Lékárna,Tier 1
90,BENU Lékárna,49621173,Praha,Praha,praha.oceuropark@benu.cz,731 638 119,Lékárna,Tier 1
90,BENU Lékárna,49621173,Praha,Praha,praha.vinohradska@benu.cz,731 638 151,Lékárna,Tier 1
90,BENU Lékárna,49621173,Plzeň,Plzeňský kraj,plzen.nadrazni@benu.cz,705 837 329,Lékárna,Tier 1
90,BENU Lékárna,22799729,Plzeň,Plzeňský kraj,plzen.ocalbert@benu.cz,377 331 237,Lékárna,Tier 1
90,BENU Lékárna,49621173,Brno,Jihomoravský kraj,brno.reckovice@benu.cz,703 462 216,Lékárna,Tier 1
90,BENU Lékárna,49621173,Praha,Praha,praha.occernymost@benu.cz,731 638 011,Lékárna,Tier 1
90,BENU Lékárna,49621173,Brno,Jihomoravský kraj,brno.ockaufland3@benu.cz,703 462 242,Lékárna,Tier 1
90,BENU Lékárna,49621173,Praha,Praha,praha.jugoslavska@benu.cz,731 638 129,Lékárna,Tier 1
90,BENU Lékárna,49621173,Brno,Jihomoravský kraj,brno.vinicni@benu.cz,703 462 215,Lékárna,Tier 1
90,BENU Lékárna,49621173,Plzeň,Plzeňský kraj,plzen.doubravka@benu.cz,703 462 275,Lékárna,Tier 1
90,BENU Lékárna,49621173,Praha,Praha,praha.mazurska@benu.cz,"283 024 119, 731 638 030",Lékárna,Tier 1
90,BENU Lékárna,49621173,Praha,Praha,praha.ocflora@benu.cz,731 638 123,Lékárna,Tier 1
90,BENU Lékárna,49621173,Praha,Praha,praha.narodni@benu.cz,731 638 116,Lékárna,Tier 1
90,BENU Lékárna,49621173,Ostrava,Moravskoslezský kraj,ostrava.sokolska@benu.cz,731 638 144,Lékárna,Tier 1
90,BENU Lékárna,49621173,Praha,Praha,praha.petrzilkova@benu.cz,731 638 150,Lékárna,Tier 1
90,BENU Lékárna,49621173,Brno,Jihomoravský kraj,brno.sliskovec@benu.cz,731 638 184,Lékárna,Tier 1
90,BENU Lékárna,49621173,Praha,Praha,praha.ocluziny@benu.cz,731 638 146,Lékárna,Tier 1
90,BENU Lékárna,49621173,Praha,Praha,praha.ocluka@benu.cz,731 638 145,Lékárna,Tier 1
90,BENU Lékárna,49621173,Brno,Jihomoravský kraj,brno.ockaufland@benu.cz,731 638 164,Lékárna,Tier 1
90,BENU Lékárna,49621173,Praha,Praha,praha.zenklova@benu.cz,731 638 033,Lékárna,Tier 1
90,BENU Lékárna,49621173,Praha,Praha,praha.ohrada@benu.cz,731 638 188,Lékárna,Tier 1
90,BENU Lékárna,49621173,Praha,Praha,praha.olbrachtova@benu.cz,731 638 154,Lékárna,Tier 1
90,BENU Lékárna,49621173,Praha,Praha,praha.volsinach@benu.cz,731638052,Lékárna,Tier 1
90,BENU Lékárna,49621173,Praha,Praha,praha.rubensova@benu.cz,731 638 072,Lékárna,Tier 1
90,BENU Lékárna,49621173,Plzeň,Plzeňský kraj,plzen.americka11@benu.cz,731 638 102,Lékárna,Tier 1
90,BENU Lékárna,49621173,Praha,Praha,praha.dlouhylan@benu.cz,230 233 934,Lékárna,Tier 1
90,BENU Lékárna,49621173,Ostrava,Moravskoslezský kraj,ostrava.vyskovicka@benu.cz,731 638 087,Lékárna,Tier 1
90,BENU Lékárna,49621173,Praha,Praha,praha.viteznenam@benu.cz,731 638 108,Lékárna,Tier 1
90,BENU Lékárna,49621173,Plzeň,Plzeňský kraj,plzen.tylova@benu.cz,731 638 020,Lékárna,Tier 1
90,BENU Lékárna,49621173,Plzeň,Plzeňský kraj,plzen.ocolympia@benu.cz,731 638 077,Lékárna,Tier 1
90,BENU Lékárna,49621173,Ostrava,Moravskoslezský kraj,ostrava.ocavion@benu.cz,731 638 165,Lékárna,Tier 1
90,BENU Lékárna - OC Šárka,49621173,Praha,Praha,praha.ocsarka@benu.cz,731 638 172,Lékárna,Tier 1
90,BENU lékárna Karlovo náměstí,27618897,Praha,Praha,palyza@lekarnawpk.cz,222231369,Lékárna,Tier 1
90,"BENU Lékárna, OC Albert",49621173,Brno,Jihomoravský kraj,brno.ocalbert@benu.cz,731 638 021,Lékárna,Tier 1
90,"BENU Lékárna, OC Kaufland",49621173,Praha,Praha,praha.ockaufland@benu.cz,731 638 174,Lékárna,Tier 1
90,Břevnovská lékárna,02243571,Praha,Praha,"brevnovskalekarna@volny.cz, phar@volny.cz","220 513 383, 220 517 303, 602 396 688",Lékárna,Tier 1
90,"Detašované pracoviště zásob, výdeje a přípravy léčiv",00843989,Ostrava,Moravskoslezský kraj,petr.basanda@fno.cz,597 374 170,Lékárna,Tier 1
90,DIA lékárna,26367700,Plzeň,Plzeňský kraj,dia@intec.cz,377 535 874,Lékárna,Tier 1
90,Dr. Max LÉKÁRNA,28511298,Plzeň,Plzeňský kraj,LEK570@drmax.cz,225 574 570,Lékárna,Tier 1
90,Dr. Max LÉKÁRNA,28511298,Ostrava,Moravskoslezský kraj,marhory@drmax.cz,"225 574 007, 596 614 809",Lékárna,Tier 1
90,Dr. Max LÉKÁRNA,28511298,Ostrava,Moravskoslezský kraj,hrabuvka@drmax.cz,"225574114, 595783297",Lékárna,Tier 1
90,Dr. Max LÉKÁRNA,28511298,Opava,Moravskoslezský kraj,LEK632@drmax.cz,225 574 632,Lékárna,Tier 2
90,Dr. Max LÉKÁRNA,28511298,Prostějov,Zlínský kraj,lek609@drmax.cz,225 574 609,Lékárna,Tier 2
90,Dr. Max LÉKÁRNA,28511298,Plzeň,Plzeňský kraj,plzen.masarykova@drmax.cz,225574564,Lékárna,Tier 1
90,Dr. Max LÉKÁRNA,28511298,Plzeň,Plzeňský kraj,plzen.uletiste@drmax.cz,"225574434, 377 423 831",Lékárna,Tier 1
90,Dr. Max LÉKÁRNA,28511298,Ostrava,Moravskoslezský kraj,ostrava.28rijna@drmax.cz,"225 574 238, 596 112 992",Lékárna,Tier 1
90,Dr. Max LÉKÁRNA,28511298,Plzeň,Plzeňský kraj,"lek198@drmax.cz, plzen.gerska2@drmax.cz",225 574 198,Lékárna,Tier 1
90,Dr. Max LÉKÁRNA,28511298,Plzeň,Plzeňský kraj,plzen.tylova@drmax.cz,"377 227 981, 225 574 268",Lékárna,Tier 1
90,Dr. Max LÉKÁRNA,28511298,Plzeň,Plzeňský kraj,plzen2@drmax.cz,225574062,Lékárna,Tier 1
90,Dr. Max LÉKÁRNA,28511298,Plzeň,Plzeňský kraj,plzen.francouzska@drmax.cz,225 574 376,Lékárna,Tier 1
90,Dr. Max LÉKÁRNA,28511298,Ostrava,Moravskoslezský kraj,lek297@drmax.cz,596113043,Lékárna,Tier 1
90,Dr. Max LÉKÁRNA,28511298,Ostrava,Moravskoslezský kraj,"lek357@drmax.cz, ostrava.vaclava@drmax.cz",225574357,Lékárna,Tier 1
90,Dr. Max LÉKÁRNA,28511298,Ostrava,Moravskoslezský kraj,ostrava.sjizdna@drmax.cz,225574417,Lékárna,Tier 1
90,Dr. Max LÉKÁRNA,28511298,Ostrava,Moravskoslezský kraj,poruba@drmax.cz,225574008,Lékárna,Tier 1
90,Dr. Max LÉKÁRNA,28511298,Ostrava,Moravskoslezský kraj,lek049@drmax.cz,225574049,Lékárna,Tier 1
90,Dr. Max LÉKÁRNA,28511298,Plzeň,Plzeňský kraj,plzen.smetany@drmax.cz,225 574 289,Lékárna,Tier 1
90,Draháň,26172925,Praha,Praha,praha.cimicka@lekarnalemon.cz,283850265,Lékárna,Tier 1
90,Dr.Max LÉKÁRNA,28511298,Praha,Praha,"praha.litochleby@drmax.cz, lek266@drmax.cz",225574266,Lékárna,Tier 1
90,Dr.Max LÉKÁRNA,28511298,Praha,Praha,praha.cestmirova@drmax.cz,225574201,Lékárna,Tier 1
90,Dr.Max LÉKÁRNA,28511298,Praha,Praha,praha.narodni@drmax.cz,225574155,Lékárna,Tier 1
90,Dr.Max LÉKÁRNA,28511298,Praha,Praha,praha.revolucni@drmax.cz,225574229,Lékárna,Tier 1
90,Dr.Max LÉKÁRNA,28511298,Praha,Praha,stodulky@drmax.cz,225 574 026,Lékárna,Tier 1
90,Dr.Max LÉKÁRNA,28511298,Praha,Praha,praha.bubenec@drmax.cz,225574269,Lékárna,Tier 1
90,Dr.Max LÉKÁRNA,28511298,Praha,Praha,"praha.vajgarska@drmax.cz, lek212@drmax.cz",225574212,Lékárna,Tier 1
90,Dr.Max LÉKÁRNA,28511298,Praha,Praha,"prahalu@drmax.cz, praha.luna@drmax.cz;lek084@drmax.cz",225574084,Lékárna,Tier 1
90,Dr.Max LÉKÁRNA,28511298,Praha,Praha,praha.makovskeho@drmax.cz,225574203,Lékárna,Tier 1
90,Dr.Max LÉKÁRNA,28511298,Praha,Praha,praha10@drmax.cz,225574109,Lékárna,Tier 1
90,Dr.Max LÉKÁRNA,28511298,Praha,Praha,praha.mochovska@drmax.cz,225574453,Lékárna,Tier 1
90,Dr.Max LÉKÁRNA,28511298,Brno,Jihomoravský kraj,brno.jugoslavska@drmax.cz,225 574 274,Lékárna,Tier 1
90,Dr.Max LÉKÁRNA,28511298,Praha,Praha,praha.plzenska@drmax.cz,225574422,Lékárna,Tier 1
90,Dr.Max LÉKÁRNA,28511298,Praha,Praha,prahavod@drmax.cz,225 574 111,Lékárna,Tier 1
90,Dr.Max LÉKÁRNA,28511298,Praha,Praha,praha.buresova@drmax.cz,225574235,Lékárna,Tier 1
90,Dr.Max LÉKÁRNA,28511298,Praha,Praha,praha.kubansken@drmax.cz,225574304,Lékárna,Tier 1
90,Dr.Max LÉKÁRNA,28511298,Praha,Praha,"lek234@drmax.cz, praha.lovosicka@drmax.cz",225574234,Lékárna,Tier 1
90,Dr.Max LÉKÁRNA,28511298,Praha,Praha,michle@drmax.cz,225574076,Lékárna,Tier 1
90,Dr.Max LÉKÁRNA,28511298,Praha,Praha,lek126@drmax.cz,225574126,Lékárna,Tier 1
90,Dr.Max LÉKÁRNA,28511298,Praha,Praha,praha.naporici@drmax.cz,225574191,Lékárna,Tier 1
90,Dr.Max LÉKÁRNA,28511298,Praha,Praha,"lek236@drmax.cz, praha.karlovo@drmax.cz",225574236,Lékárna,Tier 1
90,Dr.Max LÉKÁRNA,28511298,Praha,Praha,praha.pretlucka@drmax.cz,225574282,Lékárna,Tier 1
90,Dr.Max LÉKÁRNA,28511298,Praha,Praha,lek206@drmax.cz,225574206,Lékárna,Tier 1
90,Dr.Max LÉKÁRNA,28511298,Brno,Jihomoravský kraj,lek247@drmax.cz,225574247,Lékárna,Tier 1
90,Dr.Max LÉKÁRNA,28511298,Brno,Jihomoravský kraj,brno.masarykova@drmax.cz,225574391,Lékárna,Tier 1
90,Dr.Max LÉKÁRNA,28511298,Brno,Jihomoravský kraj,"lek348@drmax.cz, lek348@drmax.cz","225574348, 225574348",Lékárna,Tier 1
90,Dr.Max LÉKÁRNA,28511298,Praha,Praha,praha.dobronicka@drmax.cz,225574296,Lékárna,Tier 1
90,Dr.Max LÉKÁRNA,28511298,Praha,Praha,"praha.michnova@drmax.cz, lek335@drmax.cz","225574335, 703895879",Lékárna,Tier 1
90,Dr.Max LÉKÁRNA,28511298,Brno,Jihomoravský kraj,lek319@drmax.cz,225574319,Lékárna,Tier 1
90,Dr.Max LÉKÁRNA,28511298,Praha,Praha,praha.sokolovska@drmax.cz,225574312,Lékárna,Tier 1
90,Dr.Max LÉKÁRNA,28511298,Praha,Praha,praha.vinohradska2@drmax.cz,225574372,Lékárna,Tier 1
90,Dr.Max LÉKÁRNA,28511298,Brno,Jihomoravský kraj,lek244@drmax.cz,225574244,Lékárna,Tier 1
90,Dr.Max LÉKÁRNA,28511298,Praha,Praha,"praha.wilsonova@drmax.cz, lek358@drmax.cz",225574358,Lékárna,Tier 1
90,Dr.Max LÉKÁRNA,28511298,Praha,Praha,praha.suchdol@drmax.cz,225574359,Lékárna,Tier 1
90,Dr.Max LÉKÁRNA,28511298,Brno,Jihomoravský kraj,lek233@drmax.cz,225574233,Lékárna,Tier 1
90,Dr.Max LÉKÁRNA,28511298,Brno,Jihomoravský kraj,lek246@drmax.cz,225574246,Lékárna,Tier 1
90,Dr.Max LÉKÁRNA,28511298,Praha,Praha,lek375@drmax.cz,225574375,Lékárna,Tier 1
90,Dr.Max LÉKÁRNA,28511298,Praha,Praha,praha.seifertova@drmax.cz,"225574395, 703895874",Lékárna,Tier 1
90,Dr.Max LÉKÁRNA,28511298,Brno,Jihomoravský kraj,brno.nadrazni@drmax.cz,225574321,Lékárna,Tier 1
90,Dr.Max LÉKÁRNA,28511298,Brno,Jihomoravský kraj,lek695@drmax.cz,225 574 695,Lékárna,Tier 1
90,Dr.Max LÉKÁRNA,28511298,Brno,Jihomoravský kraj,lek223@drmax.cz,225 574 223,Lékárna,Tier 1
90,Dr.Max LÉKÁRNA,28511298,Brno,Jihomoravský kraj,brno4@drmax.cz,225574113,Lékárna,Tier 1
90,Dr.Max LÉKÁRNA,28511298,Brno,Jihomoravský kraj,lek576@drmax.cz,225574576,Lékárna,Tier 1
90,Dr.Max LÉKÁRNA,28511298,Brno,Jihomoravský kraj,brno.videnska2@drmax.cz,225574644,Lékárna,Tier 1
90,Dr.Max LÉKÁRNA,28511298,Praha,Praha,praha.jablonova@drmax.cz,225574272,Lékárna,Tier 1
90,Dr.Max LÉKÁRNA,28511298,Brno,Jihomoravský kraj,lek575@drmax.cz,225574575,Lékárna,Tier 1
